age-range,gender,race,FoodChoice,field,reading_normalized,gaming_normalized,cleanliness_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,Smoking,Drinking,locations
"(26, 30)",male,other,Non-Vegetarian,law and social work,0.9,0.875,1.0,1.0,0.9,1.0,0.875,0.875,1.0,1.0,1.0,Sometimes,Yes,Richmond Place
"(26, 30)",male,other,Vegetarian,law and social work,0.9,0.875,1.0,1.0,0.9,1.0,0.875,0.875,1.0,1.0,1.0,No,Yes,Spruce Meadows
"(26, 30)",male,other,Non-Vegetarian,law and social work,0.9,0.875,1.0,1.0,0.9,1.0,0.875,0.875,1.0,1.0,1.0,No,Yes,Douglas Place
"(26, 30)",male,other,Vegetarian,law and social work,0.9,0.875,1.0,1.0,0.9,1.0,0.875,0.875,1.0,1.0,1.0,No,Occasionally,Douglas Place
"(21, 25)",male,european/caucasian-american,Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Sometimes,No,Mount Pleasant
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Yes,Yes,North Regina
"(21, 25)",male,european/caucasian-american,Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Yes,No,Lakeview Annex
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Yes,Occasionally,Wascana View
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,No,Occasionally,Windsor Park
"(21, 25)",male,european/caucasian-american,Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,No,No,North Annex
"(21, 25)",male,european/caucasian-american,Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,No,Yes,Glencairn
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Sometimes,Yes,Glencairn
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Yes,Yes,Dieppe Place
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,international development,1.0,1.0,0.6,1.0,0.875,0.4,0.9,0.75,1.0,0.875,1.0,Sometimes,No,Premier Place
"(26, 30)",male,european/caucasian-american,Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,No,No,Balbrigan Place
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Sometimes,Yes,Riverside
"(26, 30)",male,european/caucasian-american,Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Yes,Occasionally,Lakeridge
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Sometimes,Yes,River Heights
"(26, 30)",male,european/caucasian-american,Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Sometimes,Yes,Woodland Grove
"(26, 30)",male,european/caucasian-american,Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Yes,No,Garden Ridge
"(26, 30)",male,european/caucasian-american,Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,No,Occasionally,Mirror Sun Gardens
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Sometimes,Occasionally,River Heights
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,Sometimes,No,University Park East
"(26, 30)",male,european/caucasian-american,Non-Vegetarian,business,0.875,0.2,1.0,0.875,1.0,0.6,1.0,0.75,0.875,1.0,1.0,No,No,Wascana Park
"(21, 25)",male,european/caucasian-american,Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Sometimes,No,Eastpoint Estates
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Yes,No,Lakeview South
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,No,Occasionally,Rothwell Place
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,No,No,South Lakeview see Lakeview South
"(21, 25)",male,european/caucasian-american,Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Yes,Occasionally,Regent Park
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Yes,Occasionally,Garden Ridge
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Sometimes,Occasionally,Wascana Park
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Yes,Occasionally,South Lakeview see Lakeview South
"(21, 25)",male,european/caucasian-american,Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,Sometimes,No,Churchill Place
"(21, 25)",male,european/caucasian-american,Non-Vegetarian,business/law,0.9,1.0,0.875,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.7,No,Occasionally,Rosemont South
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Yes,Occasionally,Dieppe Place
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Yes,Yes,Regent Park
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,No,No,Rosemont North
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Yes,Occasionally,Lakeridge
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Sometimes,Yes,Douglas Place
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Sometimes,Occasionally,Lakeview South
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Yes,Occasionally,Eastern Annex
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Sometimes,Occasionally,Normanview West
"(21, 25)",male,asian/pacific islander/asian-american,Non-Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,Sometimes,Occasionally,Eastpoint Estates
"(21, 25)",male,asian/pacific islander/asian-american,Vegetarian,law,1.0,0.2,0.9,0.9,1.0,1.0,0.8,0.2,0.875,1.0,0.4,No,Occasionally,University Park East
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,Occasionally,Walsh Acres
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,Yes,Wascana Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Sometimes,No,Crescents
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Sometimes,Occasionally,Assiniboia East
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Sometimes,Yes,Lakesidge Gardens
"(21, 25)",female,european/caucasian-american,Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,Occasionally,Tuxedo Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,Occasionally,Normanview West Addition
"(21, 25)",female,european/caucasian-american,Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,Occasionally,CPR Annex
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,Yes,Fairways West
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,Occasionally,Transcona
"(21, 25)",female,european/caucasian-american,Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,Yes,Highland Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Sometimes,Yes,Maple Ridge
"(21, 25)",female,european/caucasian-american,Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,No,Varsity Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,Yes,Dominion Heights
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,Yes,Assiniboia East
"(21, 25)",female,european/caucasian-american,Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,Yes,Dominion Heights
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,No,Normanview
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,No,No,North Annex
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Sometimes,Yes,Gardiner Heights
"(21, 25)",female,european/caucasian-american,Vegetarian,clinical psychology,0.9,1.0,0.9,0.875,0.9,0.9,0.875,0.8,0.75,1.0,0.9,Yes,Occasionally,Washington Park
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,Yes,Wascana Crescents
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,No,Douglas Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,Occasionally,Lakeridge
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,No,Wascana Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Yes,Washington Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,Yes,Rosemont North
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Occasionally,Albert Park
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,No,Gardiner Heights
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Occasionally,University Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Occasionally,Lakeview South
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Yes,Albert Park
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,Occasionally,Hillsdale
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,No,McCarthy Park
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,Yes,Lakesidge Gardens
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Yes,Dominion Heights
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Sometimes,No,Lakeview Centre
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,No,Westridge
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Yes,Argyle Park
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,No,Occasionally,Mirror Sun Gardens
"(26, 30)",female,european/caucasian-american,Vegetarian,microbiology,1.0,0.9,1.0,0.75,0.8,0.2,1.0,0.9,0.9,0.875,0.9,Yes,No,Kensington Greens
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,No,Occasionally,Harbour Landing
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,Yes,University Park East
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,No,Kensington Greens
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,No,No,Wascana Crescents
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,No,Fairways West
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,Yes,Wascana Crescents
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,No,Lakeview
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,No,Normandy Heights
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,No,Arnhem Place
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,No,Normandy Heights
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,No,Mayfair
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,No,Occasionally,Westhill
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,Occasionally,Old 33
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,No,Wascana Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,No,Uplands
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,No,Yes,Lewvan Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,Occasionally,Arcola Sub
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Yes,No,Dieppe Place
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,religion; gsas,0.75,0.75,0.875,0.9,0.9,1.0,1.0,1.0,0.75,0.6,0.6,Sometimes,Yes,Lewvan Park
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,Yes,Fairways West
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,No,Occasionally,Lakeridge
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,No,No,Normanview West
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,Yes,Lakeview Annex
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,Occasionally,Lakeview Annex
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,Yes,University Park
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,Yes,Mirror Sun Gardens
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,No,Walsh Acres
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,Occasionally,Highland Park
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,Occasionally,Arcola Sub
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,Yes,Rochdale Park
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,No,Occasionally,Lakesidge Gardens
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,Occasionally,Mount Pleasant
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,No,Rosemont North
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,No,Washington Park
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Sometimes,Yes,Glencairn
"(21, 25)",female,other,Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,Occasionally,City View
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,Yes,No,Transcona
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,No,No,Creekside
"(21, 25)",female,other,Non-Vegetarian,international affairs and public health,0.9,0.875,1.0,1.0,1.0,0.75,1.0,0.8,0.8,0.75,1.0,No,Yes,Coventry Place
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,Yes,Creekside
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,Yes,Balbrigan Place
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,No,Lewvan Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,No,Yes,Dominion Heights
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,Yes,Connaught Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,No,No,Westridge
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,Occasionally,Westhill
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,No,No,Normanview West
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,No,Mount Royal
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,No,Kensington Greens
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,No,Spruce Meadows
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,No,Normanview West Addition
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,Occasionally,Eastern Annex
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,No,Occasionally,Normanview West
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Sometimes,Yes,Hillsdale
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,Occasionally,Assiniboia East
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,No,Yes,Transcona
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,Yes,Wascana Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,Yes,Yes,Lakeview Annex
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,international affairs,0.8,1.0,0.9,0.9,0.9,0.9,0.875,0.9,0.75,0.75,1.0,No,Yes,CPR Annex
"(26, 30)",female,european/caucasian-american,Vegetarian,history,1.0,0.2,1.0,1.0,1.0,0.8,0.875,0.2,1.0,1.0,1.0,Sometimes,Occasionally,Premier Place
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,history,1.0,0.2,1.0,1.0,1.0,0.8,0.875,0.2,1.0,1.0,1.0,Yes,Yes,Lakesidge Gardens
"(26, 30)",female,european/caucasian-american,Vegetarian,history,1.0,0.2,1.0,1.0,1.0,0.8,0.875,0.2,1.0,1.0,1.0,Yes,Occasionally,Lakeview Annex
"(26, 30)",female,european/caucasian-american,Non-Vegetarian,history,1.0,0.2,1.0,1.0,1.0,0.8,0.875,0.2,1.0,1.0,1.0,No,Yes,Grand Trunk Annex
"(26, 30)",female,european/caucasian-american,Vegetarian,history,1.0,0.2,1.0,1.0,1.0,0.8,0.875,0.2,1.0,1.0,1.0,No,Yes,Rothwell Place
"(26, 30)",female,european/caucasian-american,Vegetarian,history,1.0,0.2,1.0,1.0,1.0,0.8,0.875,0.2,1.0,1.0,1.0,No,No,Albert Park
